,,DISTRIBUTION OF FEDERAL PELL GRANT RECIPIENTS ,,,,,
,,BY TYPE AND CONTROL OF INSTITUTION,,,,,
,,AWARD YEAR 2016-2017,,,,,
,,,,,,,
,OPE_ID,INSTITUTION NAME,INSTITUTION CITY,INSTITUTION STATE,INSTITUTION TYPE AND CONTROL, TOTAL AWARDS , TOTAL RECIPIENTS 
,122600,LOS ANGELES PIERCE COLLEGE,WOODLAND HILLS,CA,Public 2 Year,"$23,437,973 ","6,787"
,122700,LOS ANGELES TRADE TECH COLLEGE,LOS ANGELES,CA,Public 2 Year,"$18,624,786 ","5,540"
,122800,LOS ANGELES VALLEY COLLEGE,VALLEY GLEN,CA,Public 2 Year,"$23,103,207 ","6,513"
,122900,SO CA UNIV  HEALTH SCIENCES,WHITTIER,CA,Private 4 Year,"$169,389 ",47
,123200,AMERICAN RIVER COLLEGE,SACRAMENTO,CA,Public 2 Year,"$27,384,631 ","8,590"
,123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,Public 2 Year,"$19,728,994 ","6,142"
,123600,MENLO COLLEGE,ATHERTON,CA,Private 4 Year,"$1,169,700 ",255
,123700,MERCED COMMUNITY COLLEGE,MERCED,CA,Public 2 Year,"$17,339,970 ","4,916"
,123800,MILLS COLLEGE,OAKLAND,CA,Private 4 Year,"$1,803,542 ",396
,123900,MIRACOSTA COLLEGE,OCEANSIDE,CA,Public 4 Year,"$14,969,897 ","4,466"
,124000,MODESTO JUNIOR COLLEGE,MODESTO,CA,Public 4 Year,"$25,611,605 ","7,753"
,124200,MONTEREY PENINSULA COLLEGE,MONTEREY,CA,Public 2 Year,"$5,707,080 ","1,658"
,124300,MOUNT ST MARYS COLLEGE,LOS ANGELES,CA,Private 4 Year,"$6,977,844 ","1,675"
,124500,MT. SAN ANTONIO COLLEGE,WALNUT,CA,Public 2 Year,"$38,302,340 ","10,969"
,124600,MT SAN JACINTO COLLEGE,SAN JACINTO,CA,Public 2 Year,"$19,586,980 ","6,485"
,124700,NAPA VALLEY COLLEGE,NAPA,CA,Public 2 Year,"$4,708,639 ","1,419"
,124900,OCCIDENTAL COLLEGE,LOS ANGELES,CA,Private 4 Year,"$1,802,563 ",416
,125000,ORANGE COAST COLLEGE - FIN AID OFF,COSTA MESA,CA,Public 2 Year,"$20,369,897 ","5,630"
,125100,OTIS COLLEGE OF ART AND DESIGN,LOS ANGELES,CA,Private 4 Year,"$1,842,154 ",392
,125200,HOPE INTERNATIONAL UNIVERSITY,FULLERTON,CA,Private 4 Year,"$1,764,596 ",455
,125300,FRESNO PACIFIC UNIVERSITY,FRESNO,CA,Private 4 Year,"$7,037,723 ","1,935"
,125500,PACIFIC OAKS COLLEGE,PASADENA,CA,Private 4 Year,"$1,297,441 ",427
,125800,PACIFIC UNION COLLEGE,ANGWIN,CA,Private 4 Year,"$2,646,109 ",641
,125900,PALO VERDE COLLEGE,BLYTHE,CA,Public 2 Year,"$909,723 ",264
,126000,PALOMAR COLLEGE,SAN MARCOS,CA,Public 2 Year,"$14,705,965 ","4,545"
,126100,PASADENA CITY COLLEGE,PASADENA,CA,Public 2 Year,"$33,873,844 ","9,246"
,126200,POINT LOMA NAZARENE UNIVERSITY,SAN DIEGO,CA,Private 4 Year,"$3,857,248 ",934
,126600,LANEY COLLEGE,OAKLAND,CA,Public 2 Year,"$11,619,164 ","3,036"
,126700,MERRITT COLLEGE,OAKLAND,CA,Public 2 Year,"$5,596,735 ","1,603"
,126800,PORTERVILLE COLLEGE,PORTERVILLE,CA,Public 2 Year,"$8,119,313 ","2,268"
,126900,RIO HONDO COLLEGE,WHITTIER,CA,Public 4 Year,"$16,605,525 ","5,095"
,127000,RIVERSIDE CITY COLLEGE,RIVERSIDE,CA,Public 2 Year,"$24,040,393 ","7,686"
,127200,SAN BERNARDINO VALLEY COLLEGE,SAN BERNARDINO,CA,Public 2 Year,"$15,901,340 ","4,926"
,127300,SAN DIEGO CITY COLLEGE,SAN DIEGO,CA,Public 2 Year,"$21,016,904 ","5,823"
,127500,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,Public 4 Year,"$18,919,686 ","4,990"
,127800,SAN FRANCISCO CONSERVATORY OF MUSIC,SAN FRANCISCO,CA,Private 4 Year,"$265,834 ",57
,128000,SAN JOAQUIN DELTA COLLEGE,STOCKTON,CA,Public 2 Year,"$23,457,539 ","6,482"
